Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
26/09/2014 11:54:27,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:54:27,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:54:40,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:54:43,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:54:45,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 11:54:47,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 11:54:49,100,98,100 : 98,Set point active power : Active power set point: 98%,1,FALSE,FALSE,0
26/09/2014 11:54:51,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:54:51,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:54:53,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:54:55,100,86,100 : 86,Set point active power : Active power set point: 86%,1,FALSE,FALSE,0
26/09/2014 11:54:59,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 11:55:01,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:55:03,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:55:05,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:55:08,100,86,100 : 86,Set point active power : Active power set point: 86%,1,FALSE,FALSE,0
26/09/2014 11:55:10,100,90,100 : 90,Set point active power : Active power set point: 90%,1,FALSE,FALSE,0
26/09/2014 11:55:14,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:55:16,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:55:52,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:55:54,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 11:55:56,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 11:55:58,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 11:56:00,100,98,100 : 98,Set point active power : Active power set point: 98%,1,FALSE,FALSE,0
26/09/2014 11:56:02,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:56:03,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:58:01,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:58:04,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:58:10,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:58:10,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:59:02,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:59:08,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 11:59:12,100,99,100 : 99,Set point active power : Active power set point: 99%,1,FALSE,FALSE,0
26/09/2014 11:59:14,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:59:14,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:00:04,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:00:12,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 12:00:15,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:00:15,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:01:45,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:01:48,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 12:01:52,100,90,100 : 90,Set point active power : Active power set point: 90%,1,FALSE,FALSE,0
26/09/2014 12:01:55,100,98,100 : 98,Set point active power : Active power set point: 98%,1,FALSE,FALSE,0
26/09/2014 12:01:57,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:01:57,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:01:59,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:02:04,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 12:02:07,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 12:02:09,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
26/09/2014 12:02:11,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:02:11,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:02:40,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:02:40,100,5000,100 : 5000,Set point active power : Set point fault P,1,FALSE,FALSE,0
26/09/2014 12:02:41,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:02:41,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:02:41,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:02:43,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 12:02:45,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 12:02:47,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
26/09/2014 12:02:49,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:02:50,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:03:04,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:03:06,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 12:03:08,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 12:03:11,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 12:03:13,100,99,100 : 99,Set point active power : Active power set point: 99%,1,FALSE,FALSE,0
26/09/2014 12:03:15,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:03:15,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:04:59,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:05:00,100,5000,100 : 5000,Set point active power : Set point fault P,1,FALSE,FALSE,0
26/09/2014 12:05:00,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:05:00,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:05:00,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:05:02,100,85,100 : 85,Set point active power : Active power set point: 85%,1,FALSE,FALSE,0
26/09/2014 12:05:04,100,92,100 : 92,Set point active power : Active power set point: 92%,1,FALSE,FALSE,0
26/09/2014 12:05:06,100,99,100 : 99,Set point active power : Active power set point: 99%,1,FALSE,FALSE,0
26/09/2014 12:05:08,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:05:09,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:06:06,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:06:08,100,86,100 : 86,Set point active power : Active power set point: 86%,1,FALSE,FALSE,0
26/09/2014 12:06:10,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 12:06:13,100,98,100 : 98,Set point active power : Active power set point: 98%,1,FALSE,FALSE,0
26/09/2014 12:06:15,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:06:15,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:06:20,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:06:22,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:10:40,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:10:42,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 12:10:45,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 12:10:47,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 12:10:49,100,99,100 : 99,Set point active power : Active power set point: 99%,1,FALSE,FALSE,0
26/09/2014 12:10:51,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:10:51,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:10:53,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:10:54,100,5000,100 : 5000,Set point active power : Set point fault P,1,FALSE,FALSE,0
26/09/2014 12:10:54,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:10:54,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:10:54,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:10:57,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 12:10:59,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 12:11:01,100,94,100 : 94,Set point active power : Active power set point: 94%,1,FALSE,FALSE,0
26/09/2014 12:11:03,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 12:11:03,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 12:11:05,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 12:11:12,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 12:11:14,100,94,100 : 94,Set point active power : Active power set point: 94%,1,FALSE,FALSE,0
